Year_of_last_filed_report,NPRI_Site_ID,Company_Name,Facility_Name,Address_line_1,Address_line_2,City,Province,Postal_Code,Key_Industrial_Sector,Datum,Latitude,Longitude,PRV_WSHD_I,NHN_TWS_ID
2021,10286,Hobart Food Equipment Group Canada Ltd.,Hobart Food Equipment Group Canada Ltd.,,,Owen Sound,ON,N4K 5P5,Other Manufacturing,WGS84,44.594,-80.9237,NA,203
2021,10287,Compass Minerals Canada Corporation,GODERICH PLANT,,,Goderich,ON,N7A 3Y5,Mining and Quarrying,WGS84,43.7375,-81.6965,NA,02FE
2021,10288,Compass Minerals Canada Corporation,AMHERST PLANT,,,Nappan,NS,B4H 3Y4,Mining and Quarrying,WGS84,45.783,-64.2343,NA,01DL
2021,10289,Forterra Pipe & Precast Ltd.,Whitby Facility,,,Whitby,ON,L1N 7G8,"Cement, Lime and Other Non-Metallic Minerals",WGS84,43.8589,-78.9129,NA,02HC
2002,10290,INTERGLASS INC.,,461 Hanlan Road,,WOODBRIDGE,ON,L4L3T1,"Cement, Lime and Other Non-Metallic Minerals",WGS84,43.7717,-79.5512,ON-02HC-02,02HC
2004,10291,LYNCH FLUID CONTROLS INC,LYNCH FLUID CONTROLS,"55 Queen's Plate Drive, Units 1-4",,ETOBICOKE,ON,M9W6P2,Other Manufacturing,WGS84,43.7119,-79.591,ON-02HC-02,02HC
2021,10292,Forterra Pipe & Precast Ltd.,Cambridge Plant,,,Cambridge,ON,N1R 5S3,"Cement, Lime and Other Non-Metallic Minerals",WGS84,43.3507,-80.4098,ON-02GA-05,02GA
2010,10293,HD CANADA INC.,HOME DECOR INNOVATIONS,110 Walker Drive,,BRAMPTON,ON,L6T4H6,Iron and Steel,WGS84,43.7284,-79.6817,NA,02HC
2021,10294,City of St Thomas,Water Pollution Control Plant,,,St. Thomas,ON,N5R 3S9,Water and Wastewater Systems,WGS84,42.767,-81.2058,ON-02GC-09,02GC
2021,10295,"Canada Bread Company, Limited",Wholesome Harvest Bakery,,,Concord,ON,L4K 2L8,Other Manufacturing,WGS84,43.7874,-79.4762,ON-02HC-06,02HC
2021,10296,Horizon Plastics International,HORIZON PLASTICS INTERNATIONAL,,,Cobourg,ON,K9A 4L1,Plastics and Rubber,WGS84,43.9751,-78.1654,NA,02HD
2015,10297,"Canada Bread Company Ltd. - 1704 Seymour, North Bay",Canada Bread Company Ltd - North Bay,1704 Seymour Street,,NORTH BAY,ON,P1B8G4,Other Manufacturing,WGS84,46.3112,-79.4291,ON-02DD-05,02DD
2021,10298,Corporation of the City of Cornwall,City of Cornwall Landfill Site,,,Cornwall,ON,K6K 1M2,Waste Treatment and Disposal,WGS84,45.0343,-74.8071,ON-02MCA06,02MC
2006,10299,REGION OF PEEL,CALEDON SANITARY LANDFILL SITE,1795 Quarry Drive,,CALEDON,ON,L7K1R9,Waste Treatment and Disposal,WGS84,43.8382,-80.0196,ON-02HB-06,02HB
2010,10300,"Norampac St. Marys, a Division of Cascades Inc.","NORAMPAC ST. MARYS, A DIVISION OF CASCADES INC.",304 James Street,,ST. MARYS,ON,N4X1B7,Pulp and Paper,WGS84,43.2518,-81.1366,ON-02GD-02,02GD
2009,10301,SATISFIED BRAKE PRODUCTS,SATISFIED BRAKE PRODUCTS INC.,805  EDUCATION Road,,CORNWALL,ON,K6H6C7,Transportation Equipment Mfg.,WGS84,45.0436,-74.684,ON-02MCA03,02MC
2019,10302,Brant InStore,Brant InStore,555 Greenwich Street,,BRANTFORD,ON,N3T5T3,Other Manufacturing,WGS84,43.1306,-80.2388,ON-02GB-03,02GB
2021,10303,Jungbunzlauer Canada Inc.,Jungbunzlauer Canada Inc.,,,Port Colborne,ON,L3K 5V5,Chemicals,WGS84,42.9212,-79.2554,ON-02HA-03,02HA
2021,10304,Corporation of the City of Cornwall,Cornwall Wastewater Treatment Plant,,,Cornwall,ON,K6H 1G2,Water and Wastewater Systems,WGS84,45.0297,-74.6784,ON-02MCA03,02MC
2021,10305,Capital Paving Inc.,Pit # 1,,,Puslinch,ON,N0B 2J0,Petroleum and Coal Product Refining and Mfg.,WGS84,43.4455,-80.1505,ON-02GA-01,02GA
2010,10306,Capital Paving Inc.,Wellington Pit,6676 Wellington Road 34 Road,,PUSLINCH,ON,N3C2V4,Mining and Quarrying,WGS84,43.45,-80.2589,ON-02GA-09,02GA
2003,10307,MINISTRY OF TRANSPORTATION,ARMSTRONG #3 Z16 E353700 N 5570300,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,50.2667,-89.0528,ON-02ADB02,02AD
2002,10308,MINISTRY OF TRANSPORTATION,ARROW LAKE #5 Z15 E 713 400 N 5 346 000,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,48.2314,-90.1261,ON-02AA-03,02AA
2003,10309,MINISTRY OF TRANSPORTATION,BONHEUR #3  Z15 E 614500 N 5464700,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,49.3243,-91.4243,ON-05QA-17,05QA
2003,10310,MINISTRY OF TRANSPORTATION,CASTLEBAR LAKE #13  Z16 E 552500 N 5515400,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,49.7888,-86.2706,ON-04JDB09,04JD
2003,10311,MINISTRY OF TRANSPORTATION,COLDWELL #11  Z16 E 504800 N5405500,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,48.8025,-86.9346,NA,02BA
2002,10312,MINISTRY OF TRANSPORTATION,DE LESSEPS LAKE #3 Z15 E 669 600 N 5 606 600,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,50.5866,-90.6046,ON-04GAB02,04GA
2003,10313,MINISTRY OF TRANSPORTATION,EAGLEHEAD LAKE #2  Z16 E 328200 N 5447300,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,49.1544,-89.3562,ON-02ADB09,02AD
2003,10314,MINISTRY OF TRANSPORTATION,FIRESTEEL RIVER #36  Z15 E 649600 N 5454400,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,49.2241,-90.9454,ON-05QA-13,05QA
2003,10315,MINISTRY OF TRANSPORTATION,GERALDTON #7  Z16 E 507200 N 5504600,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,49.6939,-86.9,ON-04JDA03,04JD
2003,10316,MINISTRY OF TRANSPORTATION,GOODCHILD LAKE #1  Z16 E 547900 N 5400100,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,48.7519,-86.3483,NA,02BA
2002,10317,MINISTRY OF TRANSPORTATION,GREENWICH LAKE 20 Z16 E 388 100 N 5 419 000,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,48.9139,-88.5272,ON-02AC-02,02AC
2003,10318,MINISTRY OF TRANSPORTATION,HAWK JUNCTION #32  Z16 E 683600 N 5319800,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,48.005,-84.5383,ON-02BD-05,02BD
2003,10319,MINISTRY OF TRANSPORTATION,IRON BRIDGE #16  Z17 E 315900 N 5150800,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,46.4856,-83.3986,ON-02CC-02,02CC
2003,10320,MINISTRY OF TRANSPORTATION,IRON BRIDGE #18  Z17 E 317700 N 5143400,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,46.4194,-83.3722,ON-02CC-01,02CC
2003,10321,MINISTRY OF TRANSPORTATION,KAKAGI LAKE #13  Z15 E 428500 N 5450400,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,49.2022,-93.9817,ON-05PDA08,05PD
2002,10322,MINISTRY OF TRANSPORTATION,MADSEN #12 Z15 E 447 300 N 5 636 200,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,50.875,-93.7492,ON-05QC-01,05QC
2002,10323,MINISTRY OF TRANSPORTATION,MADSEN #13 Z15 E 448 900 N 5 635 600,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,50.8697,-93.7261,ON-05QC-01,05QC
2003,10324,MINISTRY OF TRANSPORTATION,MADSEN #19 Z15 E 457 700 N 5 637 900,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,50.3911,-93.6014,ON-05QD-01,05QE
2003,10325,MINISTRY OF TRANSPORTATION,MANITOUWADGE #5 Z16 E 580 300 N 5 441 700,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,49.1228,-85.8994,ON-02BB-02,02BB
2003,10326,MINISTRY OF TRANSPORTATION,MANITOWIK LAKE #4 Z16 E 719 300 N 5 334 400,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,48.3768,-89.2969,ON-02AB-02,02AB
2002,10327,MINISTRY OF TRANSPORTATION,MCCREA LAKE #4 Z15 E 682 400 N 5 649 900,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,50.9717,-90.4019,ON-04GAB02,04GA
2003,10328,MINISTRY OF TRANSPORTATION,MEDHURST CREEK #6 Z16 E 657 000 N 5 349 600,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,48.28,-84.8839,ON-02BD-17,02BD
2003,10329,MINISTRY OF TRANSPORTATION,MEDHURST CREEK #17 Z16 E 672 300 N 5 357 700,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,48.3489,-84.6744,ON-02BD-17,02BD
2003,10330,MINISTRY OF TRANSPORTATION,MORSON #2 Z15 E 404 900 N 5 431 600,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,49.03,-94.3011,ON-05PDA01,05PD
2002,10331,MINISTRY OF TRANSPORTATION,MOUNTAIN ASH LAKE #7 Z17 E 335 600 N 5 209 600,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,47.0194,-83.1633,ON-02CB-02,02CB
2003,10332,MINISTRY OF TRANSPORTATION,MOUNTAIN ASH LAKE #20 Z17 E 338 000 N 5 213 600,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,47.0561,-83.1331,ON-02CB-02,02CB
2003,10333,MINISTRY OF TRANSPORTATION,NEMEGOS #4 Z17 E 322 227 N 5 290 043,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,47.7392,-83.3714,ON-04LE-02,04LE
2003,10334,MINISTRY OF TRANSPORTATION,NICHOLSON #4 Z17 E 298 700 N 5 300 300,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,47.8244,-83.6894,ON-02BD-09,02BD
2003,10335,MINISTRY OF TRANSPORTATION,NIPIGON #20 Z16 E 409 900 N 5 429 900,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,49.0153,-88.2322,ON-02ADA01,02AE
2003,10336,MINISTRY OF TRANSPORTATION,NORTHWEST BAY #6 Z15 E 432 400 N 5 420 200,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,48.9311,-93.9231,ON-05PDA07,05PD
2003,10337,MINISTRY OF TRANSPORTATION,PEKAGONING LAKE #3 Z15 E 563 000 N 5 431 800,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,49.0358,-92.1381,ON-05PBA11,05PB
2003,10338,MINISTRY OF TRANSPORTATION,PICKEREL LAKE #17 Z15 E 641 200 N 5 391 800,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,48.6633,-91.0825,ON-05PAB24,05PA
2003,10339,MINISTRY OF TRANSPORTATION,PICKEREL LAKE #28 Z15 E 646 700 N 5 394 200,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,48.6836,-91.0069,ON-05PAB24,05PA
2002,10340,MINISTRY OF TRANSPORTATION,PIGEON RIVER #22 Z16 E 284 600 N 5 331 500,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,48.1003,-89.8933,ON-02AA-03,02AA
2002,10341,MINISTRY OF TRANSPORTATION,POKIE LAKE #1 Z16 E 639 300 N 5 369 700,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,48.465,-85.1156,ON-02BC-10,02BC
2003,10342,MINISTRY OF TRANSPORTATION,RANGER LAKE #4 Z17 E 289 883 N 5 184 973,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,46.7853,-83.7528,ON-02CAA11,02CA
2003,10343,MINISTRY OF TRANSPORTATION,SANDYBEACH LAKE #8 Z15 E 554 000 N 5 532 300,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,49.9406,-92.2475,ON-05QA-02,05QA
2002,10344,MINISTRY OF TRANSPORTATION,SAVANNE #10 Z15 E 685 200 N 5 427 200,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,48.87,-90.4694,ON-05PBB07,05PB
2002,10345,MINISTRY OF TRANSPORTATION,SAVANNE #25 Z15 E 707 600 N 5 423 800,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,48.9322,-90.1653,ON-05PBB12,05PB
2002,10346,MINISTRY OF TRANSPORTATION,SAVANNE #26 Z15 E 707 600 N 5 423 000,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,48.925,-90.1658,ON-05PBB12,05PB
2003,10347,MINISTRY OF TRANSPORTATION,SAVANT LAKE #7 Z15 E 666 100 N 5 561 300,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,50.1806,-90.6736,ON-05QA-12,05QA
2002,10348,MINISTRY OF TRANSPORTATION,SAVANT LAKE #11 Z15 E 666 100 N 5 563 200,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,50.1978,-90.6728,ON-05QA-12,05QA
2003,10349,MINISTRY OF TRANSPORTATION,SEARCHMONT #15 Z16 E 691 700 N 5 201 500,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,46.9394,-84.4814,NA,201
2003,10350,MINISTRY OF TRANSPORTATION,TARP LAKE #2 Z15 E 698 700 N 5 711 000,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,51.515,-90.1361,ON-04FAA08,04FA
2002,10351,MINISTRY OF TRANSPORTATION,VALORA #8 Z15 E 630 300 N 5 519 700,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,49.8156,-91.1886,ON-05QA-15,05QA
2003,10352,MINISTRY OF TRANSPORTATION,VERMILION BAY #21 Z15 E 480 200 N 5 518 300,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,49.8169,-93.2753,ON-05QD-09,05QD
2002,10353,MINISTRY OF TRANSPORTATION,WABIGOON #23 Z15 E 521 400 N 5 485 200,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,49.519,-92.7043,ON-05PBB11,05PB
2003,10354,MINISTRY OF TRANSPORTATION,WAKOMATA LAKE #13 Z17 E 344 087 N 5 158 130,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,46.5586,-83.0342,ON-02CC-04,02CC
2003,10355,MINISTRY OF TRANSPORTATION,WHITE RIVER #3 Z16 E 636 100 N 5 376 600,615 South James Street,,THUNDER BAY,ON,P7E6P6,Other (Except Manufacturing),WGS84,48.5278,-85.1567,ON-02BC-13,02BC
2002,10356,MINISTRY OF TRANSPORTATION,AGAWAY BAY #3 Z16 E 684 300 N 5 238 300,615 South James Steet,,THUNDER BAY,ON,P7E5P6,Other (Except Manufacturing),WGS84,47.2722,-84.5633,ON-02BE-01,02BE
2021,10357,ICS Universal Drum Reconditioning GP Inc.,UNIVERSAL DRUM (TORONTO) - 110 GLEN SCARLETT RD.,,,Toronto,ON,M6N 1P4,Waste Treatment and Disposal,WGS84,43.6738,-79.4769,ON-02HC-02,02HC
2021,10358,ICS Universal Drum Reconditioning GP Inc.,UNIVERSAL DRUM (MISSISSAUGA) - 2460 ROYAL WINDSOR DR.,,,Mississauga,ON,L5J 1K7,Waste Treatment and Disposal,WGS84,43.50153,-79.6388,NA,209
2008,10359,M-CON PRODUCTS,M-CON PRODUCTS INC,2150  RICHARDSON SIDE Road,,CARP,ON,K0A1L0,"Cement, Lime and Other Non-Metallic Minerals",WGS84,45.293,-75.968,ON-02KF-02,02KF
2010,10360,SMUCKER FOODS OF CANADA CO.,DUNNVILLE BICKS PLANT,701 Broad Street,,DUNNVILLE,ON,N1A1H2,Other Manufacturing,WGS84,42.904,-79.6054,ON-02GB-01,02GB
2005,10361,SMUCKER FOODS OF CANADA CO.,DELHI,877 Brantford Road R.R. # 3,,VANESSA,ON,N0E1V0,Other Manufacturing,WGS84,42.7641,-80.3881,NA,02GC
2003,10362,GOURMET BAKER INC.,SIMCOE,80 2nd Avenue,,SIMCOE,ON,N3Y4K8,Other Manufacturing,WGS84,42.8493,-80.3109,ON-02GC-02,02GC
2003,10363,GOURMET BAKER INC,WINNIPEG,1535 Inkster Blvd.,,WINNIPEG,MB,R2X1R2,Other Manufacturing,WGS84,49.9451,-97.1785,NA,05OJ
2003,10364,GOURMET BAKER INC/,LAUREL,6229 Laurel Street,,BURNABY,BC,V5B3B3,Other Manufacturing,WGS84,49.2538,-122.9751,BC_103,08MH
2003,10365,GOURMET BAKER INC.,BURNABY,502 - 4190 Lougheed Hwy,,BURNABY,BC,V5V6A8,Other Manufacturing,WGS84,49.266,-123.0118,BC_103,08MH
2008,10366,HORIZON MILLING G.P.,BURLINGTON,4370  HARVESTER Road,,BURLINGTON,ON,L7L4X2,Other Manufacturing,WGS84,43.3727,-79.7717,NA,209
2021,10367,Ardent Mills ULC,Saskatoon,,,Saskatoon,SK,S7K 0R8,Other Manufacturing,WGS84,52.1435,-106.6611,NA,05HG
2007,10368,HORIZON MILLING GP,MONTREAL- CAKE PLANT,6630 Hutchison Street,,MONTREAL,QC,H2V4R1,Other Manufacturing,WGS84,45.5272,-73.6163,NA,210
2021,10369,Ardent Mills ULC,Montreal Flour plant,,,Montréal,QC,H3J 1N2,Other Manufacturing,WGS84,45.4852,-73.5704,NA,210
2007,10370,SMUCKERS FOOS OF CANADA CO.,PORT COLBORNE,2  OMER Avenue,P.O. Box 190,PORT COLBORNE,ON,L3K5V8,Other Manufacturing,WGS84,42.8864,-79.251,NA,207
2021,10371,R.W. TOMLINSON LIMITED,Moodie Drive Quarry,,,Ottawa,ON,K2H 7V2,Mining and Quarrying,WGS84,45.2774,-75.8169,ON-02LA-07,02LA
2021,10372,R.W. TOMLINSON LIMITED,Ontario Trap Rock,,,Bruce Mines,ON,P0R 1C0,Mining and Quarrying,WGS84,46.3059,-83.7444,ON-02CAA01,02CA
2021,10373,R.W. TOMLINSON LIMITED,Rideau Road Quarry,,,Ottawa,ON,K1G 3N4,Mining and Quarrying,WGS84,45.305,-75.5721,ON-02LB-08,02LB
2021,10374,Hydro One Remote Communities Inc.,Armstrong Diesel Generating Station,,,Armstrong,ON,P0T 1A0,Electricity,WGS84,50.28,-88.92,ON-02ADB14,02AD
2003,10375,HYDRO ONE REMOTE COMMUNITY INC.,ATTAWAPISKAT DIESEL GENERATING STATION,Attawapiskat F.N,,ATTAWAPISKAT,ON,P0L1A0,Electricity,WGS84,52.92,-82.43,ON-04FCA02,04FC
2021,10376,Hydro One Remote Communities Inc.,Bearskin Diesel Generating Station,,,Bearskin Lake,ON,P0T 1A0,Electricity,WGS84,53.95,-91.03,ON-04CCB02,04CC
2021,10377,Hydro One Remote Communities Inc.,Big Trout Diesel Generating Station,,,Big Trout Lake,ON,P0V 1G0,Electricity,WGS84,53.82,-89.9,ON-04CE-09,04CE
2021,10378,Hydro One Remote Communities Inc.,Biscotasing Diesel Generating Station,,,Biscotasing,ON,P0M 1C0,Electricity,WGS84,47.32,-82.12,ON-02CE-10,02CE
2021,10379,Hydro One Remote Communities Inc.,Deer Lake Diesel Generating Station,,,Deer Lake,ON,P0V 1N0,Electricity,WGS84,52.65,-94.07,ON-04CAB08,04CA
2021,10380,Hydro One Remote Communities Inc.,Fort Severn Diesel Generating Station,,,Fort Severn,ON,P0V 1W0,Electricity,WGS84,55.991577,-87.638862,ON-04CF-01,04CF
2021,10381,Hydro One Remote Communities Inc.,Gull Bay Diesel Generating Station,,,Gull Bay,ON,P0T 1P0,Electricity,WGS84,49.82,-89.13,ON-02ADB01,02AD
2021,10382,Hydro One Remote Communities Inc.,Hillsport Diesel Generating Station,,,Hillsport,ON,P0T 1S0,Electricity,WGS84,49.452426,-85.548591,ON-02BB-06,02BB
2021,10383,Hydro One Remote Communities Inc.,Kasabonika Diesel Generating Station,,,Kasabonika Lake,ON,P0V 1Y0,Electricity,WGS84,53.52,-88.63,ON-04DBB04,04DB
2021,10384,Hydro One Remote Communities Inc.,Kingfisher Diesel Generating Station,,,Kingfisher Lake,ON,P0V 1Z0,Electricity,WGS84,53.0319,-89.8228,ON-04DBB12,04DB
2021,10385,Hydro One Remote Communities Inc.,Lansdowne Diesel Generating Station,,,Lansdowne House,ON,P0T 1Z0,Electricity,WGS84,52.2188,-87.8991,ON-04FB-05,04FB
2021,10386,Hydro One Remote Communities Inc.,OBA Diesel Generating Station ,,,OBA,ON,P0M 1P0,Electricity,WGS84,49.057727,-84.102897,ON-04JA-05,04JA
2021,10387,Hydro One Remote Communities Inc.,Sachigo Diesel Generating Station,,,Sachigo Lake,ON,P0V 2P0,Electricity,WGS84,53.88,-92.2,ON-04CDB05,04CD
2021,10388,Hydro One Remote Communities Inc.,Sandy Lake Diesel Generating Station,,,Sandy Lake,ON,P0V 1V0,Electricity,WGS84,53.063008,-93.356944,ON-04CAA03,04CA
2021,10389,Hydro One Remote Communities Inc.,Sultan DGS,,,Sultan,ON,P0M 1C0,Electricity,WGS84,47.6,-82.83,ON-04LC-08,04LC
2021,10390,Hydro One Remote Communities Inc.,Wapekeka Diesel Generating Station,,,Wepekeka,ON,P0V 1B0,Electricity,WGS84,53.85,-89.58,ON-04CE-07,04CE
2021,10391,Hydro One Remote Communities Inc.,Weagamow Diesel Generating Station,,,Weagamow,ON,P0V 2Y0,Electricity,WGS84,52.9502,-91.3317,ON-04CB-05,04CB
2021,10392,Hydro One Remote Communities Inc.,Webequie Diesel Generating Station,,,Webequie,ON,P0T 3A0,Electricity,WGS84,52.95,-87.37,ON-04DAA01,04DA
2021,10393,Centerline (Windsor) Ltd.,Automation Components Division,,,Windsor,ON,N9J 3T9,Other Manufacturing,WGS84,42.2509,-83.0972,ON-02GHA02,02GH
2007,10394,SKD AUTOMOTIVE,MILTON,375 Wheelabrator Way,,MILTON,ON,L9T3C1,Transportation Equipment Mfg.,WGS84,43.5263,-79.8921,ON-02HB-03,02HB
2007,10395,SKD COMPANY,DANBRO DIVISION,7345 East Danbro Crescent,,MISSISSAUGA,ON,L5N6P8,Transportation Equipment Mfg.,WGS84,43.606,-79.7763,ON-02HB-04,02HB
2021,10396,Eacom Timber Corporation,Ear Falls Sawmill,,,Ear Falls ,ON,P0V 1T0,Wood Products,WGS84,50.5866,-93.1902,ON-05QE-06,05QE
2021,10397,Produits Forestiers GreenFirst (QC) Inc. / GreenFirst Forest Products (QC) Inc.,Chapleau Sawmill,,,Chapleau,ON,P0M 1K0,Wood Products,WGS84,47.8447,-83.4273,ON-04LE-02,04LE
2021,10398,"Region of Waterloo, Waste Management Division",Cambridge Landfill Site,,,Cambridge,ON,N1T 1S6,Waste Treatment and Disposal,WGS84,43.368,-80.2738,ON-02GA-01,02GA
2021,10399,"Region of Waterloo, Waste Management Division",Waterloo Landfill Site,,,Waterloo,ON,N2J 3Z4,Waste Treatment and Disposal,WGS84,43.4418,-80.5787,ON-02GA-02,02GA
2021,10400,The Corporation of the City of Kingston,CATARAQUI BAY WASTEWATER TREATMENT,,,Kingston,ON,K7L 5A5,Water and Wastewater Systems,WGS84,44.2143,-76.5516,ON-02MA-02,02MA
2005,10401,KUMI CANADA,KUMI CANADA CORPORATION,55  REAGANS INDUSTRIAL Parkway,,BRADFORD,ON,L3Z2A4,Plastics and Rubber,WGS84,44.1118,-79.5971,ON-02EC-06,02EC
2019,10402,TI Group Inc.,TI Group,115 Thorncliffe Park Drive,,TORONTO,ON,M4H1M1,Other (Except Manufacturing),WGS84,43.709234,-79.343694,ON-02HC-06,02HC
2021,10403,Atlantic Power LP,Calstock Power Plant,,,Hearst,ON,P0L 1N0,Electricity,WGS84,49.7911,-84.1438,ON-04JA-01,04JA
2016,10404,Atlantic Power LP,Kapuskasing Power Plant,47 Gough Road,,KAPUSKASING,ON,P5N2X7,Electricity,WGS84,49.3909,-82.4373,ON-04LF-02,04LF
2016,10405,Atlantic Power LP,Nipigon Power Plant,11 Highway Highway,,NIPIGON,ON,P0T2J0,Electricity,WGS84,49.1512,-88.3418,ON-02ADA01,02AD
2016,10406,Atlantic Power LP,North Bay,4001 - 11 RR#2 Highway North,,NORTH BAY,ON,P1B8G3,Electricity,WGS84,46.3803,-79.4692,ON-02DD-05,02DD
2021,10407,Atlantic Power LP,Tunis Power Plant,,,Tunis,ON,P0N 1J0,Electricity,WGS84,48.8704,-80.8942,ON-04MD-09,04MD
2009,10408,MULTIPLE-PAKFOLD BUSINESS FORMS,MULTIPLE-PAKFOLD BUSINESS FORMS - DORVAL,"290, avenue Guthrie",,DORVAL,QC,H9P2V2,Other Manufacturing,WGS84,45.4509,-73.7302,NA,210
2013,10409,The DATA Group Ltd.,COMMERCIAL PRINTING - CALGARY,1311 Ninth Avenue,,CALGARY,AB,T3C0H9,Other Manufacturing,WGS84,51.045078,-114.09204,AB-04020801,05BH
2009,10410,STOWE-WOODWARD/ MOUNT HOPE,STOWE WOODWARD,175 Eloy Road,,NORTH BAY,ON,P1B9T9,Plastics and Rubber,WGS84,46.3312,-79.4999,ON-02DD-05,02DD
2010,10411,NORAMPAC CANADA INC.,"NORAMPAC VAUGHAN, A DIVISION OF CASCADES CANADA INC.",655 Creditstone Road,,VAUGHAN,ON,L4K5P9,Pulp and Paper,WGS84,43.8054,-79.5181,ON-02HC-06,02HC
2012,10412,Ajax Textile Processing Co Ltd.,Ajax Textile Dyers and Finishers,170 Commercial Avenue,,AJAX,ON,L1S3C2,Other Manufacturing,WGS84,43.8475,-79.0229,NA,02HC
2021,10413,Ottawa Valley Waste Management Board,OTTAWA VALLEY WASTE RECOVERY CENTRE,,,Pembroke,ON,K8A 6W5,Waste Treatment and Disposal,WGS84,45.7045,-77.1541,ON-02KC-09,02KC
2021,10414,Sun Polishing and Plating Co. Ltd.,SUN POLISHING AND PLATING CO. LTD.,,,Toronto,ON,M6M 1J1,Other Manufacturing,WGS84,43.6828,-79.4769,ON-02HC-02,02HC
2021,10415,StampTek,StampTek,,,North York,ON,M3J 2X8,Other Manufacturing,WGS84,43.7741,-79.4855,ON-02HC-06,02HC
2010,10416,Transcontinental Printing,INTERWEB TORONTO,5650 Keaton Crescent,,MISSISSAUGA,ON,L5R3G3,Other Manufacturing,WGS84,43.6121,-79.6779,NA,02HB
