Facility_I,Owner_Name,System_Nam,City,Province__,Postal_Cod,Owner_Type,Operator_T,Average_Da,Method_of_,Descriptio,Chlorine_U,System_Typ,Treatment_,Other_Trea,Discharge_,Is_the_hyd,Reporting_,Averaging_,Latitude,Longitude,Verificati,Type_of_Po,Name_of_bo,Name_of_th,Descript_1,Descript_2,System_sta,PRV_WSHD_I,NHN_TWS_ID,Averaging_Period,Year_Most_Recent,Average_Daily_Effluent_Volume_m3,Total_volume_of_effluent_deposited_in_cubic_metres_m3_for_averaging_period_,Average_CBOD_mgL_for_averaging_period,CBOD_Compliance,Average_suspended_solids_mgL_for_averaging_period,Suspended_Solids_Compliance
23663,Parks Canada Agency,Lake Louise,Lake Louise,Alberta,T0L 1E0,Federal,Federal,2500,Continuous measure of effluent volume deposited via the final discharge point,NA,No,Continuous,"Grit Removal, Screening, Extended Aeration Activated Sludge, Biological Nutrient Removal (Nitrogen and Phosphorus), Chemical Precipitation (Phosphorus), Filtration, Disinfection",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,No,Quarterly,Quarterly,51.4048,-116.1634,Verified,Final Discharge Point,NA,NA,NA,NA,operational,AB-04020101,05BA,Quarterly,2021,2473.8,204554,2,-23,1.45,-23.55
26035,Piikani Nation 147,Lagoon 1991,Brocket,Alberta,T0K0H0,NA,NA,0,Other method of calculation based on measurements,Evaporative Lagoon no discharge.,No,Intermittent,"Primary Sedimentation/Clarification, Lagoon - Aerobic, Lagoon - Anaerobic, Lagoon - Facultative, Storage Ponds",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Annually,Annually,49.5569,-113.7236,Verified,Final Discharge Point,NA,NA,NA,NA,operational,AB-04010105,05AB,Annually,2021,0,0,0,-25,0,-25
24935,Regional Municipality of Wood Buffalo,Anzac Sewage Lagoon,Anzac,Alberta,T9H 2K4,Municipal or another local authority,Municipal or another local authority,242,Estimate based on generally accepted engineering practices,NA,No,Intermittent,Lagoon - Facultative,NA,Effluent is deposited to water frequented by fish via the final discharge point,Non-applicable,Annually,Annually,56.4619,-111.0378,Verified,Final Discharge Point,NA,NA,Other,Other,operational,AB-17060107,07CE,Annually,2021,248.6,58892,8.9,-191.1,41,-2
24946,Regional Municipality of Wood Buffalo,Conklin Sewage Lagoon,Conklin,Alberta,T9H 2K4,Municipal or another local authority,Municipal or another local authority,150,Estimate based on generally accepted engineering practices,NA,No,Intermittent,Lagoon - Facultative,NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Annually,Annually,55.654,-111.1105,Verified,Final Discharge Point,NA,NA,Other,Other,operational,AB-17060104,07CE,Annually,2021,105,22491,3.7,-21.3,0,-25
25946,Regional Municipality of Wood Buffalo,Fort Chipewyan WWTP,Fort Chipewyan,Alberta,T9H 2K4,Municipal or another local authority,Municipal or another local authority,846,Other method of calculation based on measurements,flow meter on lift station,No,Continuous,Chemical Precipitation (Phosphorus),NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Yes,Annually,Annually,58.7203,-111.1637,Verified,Final Discharge Point,NA,NA,Other,Other,operational,AB-21010202,07NA,Annually,2021,980.2,423355,4.7,-20.3,10.5,-14.5
24949,Regional Municipality of Wood Buffalo,Fort McKay Sewage Lagoon,Fort McKay,Alberta,T9H 2K4,Municipal or another local authority,Municipal or another local authority,438,Estimate based on generally accepted engineering practices,NA,No,Intermittent,Lagoon - Facultative,NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Annually,Annually,57.1918,-111.6293,Verified,Final Discharge Point,NA,NA,Other,Other,operational,AB-17070101,07DA,Annually,2021,575.6,184093,2.3,-22.7,6.3,-18.7
24962,Regional Municipality of Wood Buffalo,Fort McMurray Airport Sewage Lagoon,Fort McMurray,Alberta,T9H 2K4,Municipal or another local authority,Municipal or another local authority,183,Estimate based on generally accepted engineering practices,NA,No,Intermittent,Lagoon - Facultative,NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Annually,Annually,56.6475,-111.2206,Verified,Final Discharge Point,NA,NA,Other,Other,decommissioned,AB-17060201,07CD,Annually,2014,182.9,45200,5,NA,22,NA
9250,Regional Municipality of Wood Buffalo,Fort McMurray WWTP,Fort McMurray,Alberta,T9K0N9,Municipal or another local authority,Municipal or another local authority,28000,Estimate based on the measured rate of effluent flow,NA,No,Continuous,"Grit Removal, Screening, Chemical Flocculation, Primary Sedimentation/Clarification, Extended Aeration Activated Sludge, Biological Nutrient Removal (Nitrogen and Phosphorus), Disinfection",NA,Effluent is deposited to water frequented by fish via the final discharge point,Yes,Quarterly,Monthly,56.766,-111.4151,Verified,Final Discharge Point,Athabasca River,Athabasca River,Drinking water source,Watercourse with bulk flow ratio > 100,operational,AB-17070101,07DA,Monthly,2021,25418.6,633151.6667,2.225,-22.775,5.491666667,-19.50833333
24965,Regional Municipality of Wood Buffalo,Janvier Sewage Lagoon,Janvier,Alberta,T9H 2K4,Municipal or another local authority,Municipal or another local authority,15,Other method of calculation based on measurements,Water levels are measured before and after discharge.  Volume is calculated based on lagoon geometry.,No,Intermittent,"Lagoon - Anaerobic, Storage Ponds",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Non-applicable,Non-applicable,55.9142,-110.7538,Verified,Final Discharge Point,Christina River,Christina River,Drinking water source,Watercourse with bulk flow ratio > 100,operational,AB-17060101,07CE,NA,NA,NA,NA,NA,NA,NA,NA
23908,Rocky View County,Langdon WWTP,Langdon,Alberta,T0J 1X2,Municipal or another local authority,Other,2186.5,Continuous measure of effluent volume deposited via the final discharge point,NA,No,Continuous,"Screening, Chemical Flocculation, Extended Aeration Activated Sludge, Sequencing Batch Reactor, Biological Nutrient Removal (Nitrogen and Phosphorus), Disinfection",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,No,Quarterly,Quarterly,50.97,-113.658,Verified,Final Discharge Point,Weed Lake,NA,Agriculture (e.g irrigation),Other,operational,AB-08020206,05CE,Quarterly,2018,2443.2,258168,3.8,-21.2,12.7,-12.3
62084,Samson Cree Nation No.137,Samson Wastewater Treatment Plant,Maskwacis,Alberta,T0C 1N0,NA,NA,600,Estimate based on the measured rate of influent flow,NA,No,Continuous,"Screening, Chemical Flocculation, Lagoon - Aerated, Other Treatment Type, Disinfection",Submerged Activated Growth Reactor followed by UV,Effluent is deposited to water frequented by fish via the final discharge point,Yes,Annually,Annually,52.7952,-113.3938,Verified,Final Discharge Point,Battle River,Battle River,Other,Watercourse with bulk flow ratio < 10,operational,AB-09010101,05FA,NA,NA,NA,NA,NA,NA,NA,NA
26037,Siksika Nation Public Works,Siksika Little Washington Lagoon,Siksika,Alberta,T0J3W0,NA,NA,221,Estimate based on generally accepted engineering practices,NA,No,Intermittent,"Lagoon - Anaerobic, Lagoon - Facultative, Polishing Ponds",NA,Effluent is deposited to water frequented by fish via the final discharge point,Non-applicable,Annually,Annually,50.7748,-112.8269,Estimated,Final Discharge Point,Bow River,Bow River,Other recreational (e.g. boating),NA,operational,AB-04020901,05BM,Annually,2017,7.4,0,0,-25,0,-25
26039,Siksika Nation Public Works,Siksika Shouldice Lagoon,Siksika,Alberta,T0J3W0,NA,NA,44,Estimate based on generally accepted engineering practices,NA,No,Intermittent,Other Treatment,effluent does not reach water frequented by fish (evaporative lagoon),Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Non-applicable,Non-applicable,50.7719,-112.8463,Verified,Final Discharge Point,Bow,River,NA,Other,operational,AB-04020901,05BM,Annually,2014,44,0,0,NA,0,NA
26040,Siksika Nation Public Works,Siksika Stobart Lagoon,Siksika,Alberta,T0J3W0,NA,NA,86,Estimate based on generally accepted engineering practices,NA,No,Intermittent,Other Treatment,Effluent does not reach waters frequented by fish,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Non-applicable,Non-applicable,50.8767,-113.1411,Verified,Final Discharge Point,river,bow,Other recreational (e.g. boating),Other,operational,AB-04020901,05BM,Annually,2015,0,0,0,-25,0,-25
26036,Siksika Nation Public Works,Siksika Townsite Lagoon,Siksika,Alberta,T0J3W0,NA,NA,918,Estimate based on generally accepted engineering practices,NA,No,Intermittent,"Lagoons - Aerated, Storage Ponds, Other Treatment",effluent does not reach water frequented by fish,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Non-applicable,Non-applicable,50.8534,-113.0418,Estimated,Final Discharge Point,river,bow,Other recreational (e.g. boating),Other,operational,AB-04020901,05BM,Annually,2014,918,13935,9.7,NA,25.1,NA
26038,Siksika Nation Public Works,Siksika West End Lagoon,Siksika,Alberta,T0J3W0,NA,NA,193,Estimate based on generally accepted engineering practices,NA,No,Intermittent,"Primary Sedimentation/Clarification, Lagoon - Aerobic, Lagoon - Anaerobic, Storage Ponds",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Annually,Annually,50.895,-113.2039,Verified,Final Discharge Point,bow,bow river,Other recreational (e.g. boating),Other,operational,AB-04020901,05BM,Annually,2021,0,0,0,-25,0,-25
24373,Stoney Tribal Administration,Morley Townsite WWTP,Morley,Alberta,T0L 1N0,NA,Other,99,Continuous measure of effluent volume deposited via the final discharge point,NA,No,Continuous,Sequencing Batch Reactor,NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,No,Non-applicable,Non-applicable,51.1774,-114.8361,Verified,Final Discharge Point,NA,NA,Other recreational (e.g. boating),Watercourse with bulk flow ratio > 100,operational,AB-04020401,05BE,Quarterly,2017,185.8,23760.5,1.5,-23.5,5.65,-19.35
28498,Sturgeon Lake Cree Nation #154,Sturgeon Lake Cree Nation Lagoon,Calais,Alberta,T0H 0P0,NA,NA,24,Estimate based on generally accepted engineering practices,NA,No,Intermittent,"Lagoon - Aerobic, Lagoon - Anaerobic, Lagoon - Facultative, Lagoon - Non-aerated",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Annually,Annually,55.0687,-117.4751,Verified,Final Discharge Point,slew,lagoon,Other,Natural wetland,operational,AB-18020802,07GH,Annually,2020,0,190,2,-23,3,-22
24235,Suncor Energy Oil Sands Limited Partnership,Firebag Voyageur Wastewater Treatment Plant,Fort McMurray,Alberta,T9K 0T4,Other,Other,156,Continuous measure of effluent volume deposited via the final discharge point,NA,No,Continuous,"Grit Removal, Primary Sedimentation/Clarification, Activated Sludge, Sequencing Batch Reactor, Other Treatment",System does not discharge to fish bearing waterbody,Effluent is deposited to water frequented by fish via the final discharge point,No,Non-applicable,Non-applicable,57.2317,-110.8556,Verified,Final Discharge Point,NA,NA,Other,Other,operational,AB-17070301,07DC,NA,NA,NA,NA,NA,NA,NA,NA
23896,Suncor Energy Oil Sands Limited Partnership,Suncor Firebag Stage 3 Central Wastewater Treatment Plant,Fort McMurray,Alberta,T9K 0T4,Other,Other,139,Continuous measure of effluent volume deposited via the final discharge point,NA,Yes,Continuous,"Screening, Activated Sludge, Other Treatment, Disinfection",System does not discharge to fish bearing waterbody,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,No,Non-applicable,Non-applicable,57.2467,-110.8558,Verified,Final Discharge Point,NA,NA,NA,NA,operational,AB-17070301,07DC,Quarterly,2014,46.4,0,0,NA,0,NA
23890,Suncor Energy Oil Sands Limited Partnership,Suncor Firebag Village Wastewater Treatment Plant,Fort McMurray,Alberta,T9K 0T4,Other,Other,162,Continuous measure of effluent volume deposited via the final discharge point,NA,No,Continuous,"Screening, Activated Sludge, Chemical Precipitation (Phosphorus), Filtration, Other Treatment, Disinfection",System does not discharge to fish bearing waterbody,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,No,Non-applicable,Non-applicable,57.24,-110.8953,Verified,Final Discharge Point,NA,NA,NA,NA,operational,AB-17070103,07DA,Quarterly,2014,226.9,26663,3.3,NA,3.1,NA
27977,Sunshine Village,Sunshine WWTP,Banff,Alberta,T1W 1A1,Other,Other,106,Continuous measure of effluent volume deposited via the final discharge point,NA,No,Continuous,"Screening, Extended Aeration Activated Sludge, Chemical Precipitation (Phosphorus), Filtration, Disinfection",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,No,Quarterly,Quarterly,51.07633,-115.3508,Estimated,Final Discharge Point,NA,NA,Other,Other,operational,AB-04020401,05BE,Quarterly,2021,105.2,9680.9,2.1,-22.9,3.15,-21.85
26911,Swan River,Swan River Lagoon,Kinuso,Alberta,T0G 1K0,NA,NA,160,Determined on the basis of the system's average design rate of influent flow,NA,No,Intermittent,"Lagoon - Aerobic, Lagoon - Anaerobic, Storage Ponds",NA,Effluent is deposited to water frequented by fish via the final discharge point,Non-applicable,Annually,Annually,55.3357,-115.4456,Verified,Final Discharge Point,NA,NA,NA,NA,operational,AB-17040201,07BJ,Annually,2019,0,0,0,-25,0,-25
1243,Syncrude Canada Ltd.,Syncrude Canada Ltd,Fort McMurray,Alberta,T9H3L1,Other,Other,500,Estimate based on the measured rate of effluent flow,NA,No,Continuous,"Primary Sedimentation/Clarification, Lagoons - Aerated, Lagoon - Aerobic, Lagoon - Anaerobic, Polishing Ponds",NA,Effluent is deposited to water frequented by fish via the final discharge point,Yes,Annually,Annually,57.036,-111.507,Verified,Final Discharge Point,Athabasca River,Athabasca River,Other,Watercourse with bulk flow ratio > 100,operational,AB-17070101,07DA,Annually,2021,430.6,146761,5.7,-19.3,11.3,-13.7
34809,Thorhild County,Thorhild Lagoon,Thorhild,Alberta,T0A 3J0,Municipal or another local authority,Municipal or another local authority,38250,Estimate based on generally accepted engineering practices,NA,No,Intermittent,"Lagoon - Anaerobic, Lagoon - Facultative, Lagoon - Non-aerated, Storage Ponds, Other Treatment",Actizyme,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Annually,Annually,54.1386,-113.1393,Verified,Final Discharge Point,Kennedy Creek,Kennedy Creek,Agriculture (e.g irrigation),Watercourse with bulk flow ratio < 10,operational,AB-11030203,05EC,Annually,2021,200.1,71000,0,-25,11,-14
23817,Town of Athabasca,Town of Athabasca,Athabasca,Alberta,T9S1B7,Municipal or another local authority,Municipal or another local authority,1000,Continuous measure of effluent volume deposited via the final discharge point,NA,No,Continuous,Lagoons - Aerated,NA,Effluent is deposited to water frequented by fish via the final discharge point,Yes,Annually,Annually,54.7303,-113.2706,Verified,Final Discharge Point,NA,Athabasca River,Drinking water source,Other,operational,AB-17050201,07CB,Annually,2021,908.6,313880,9.3,-15.7,18.4,-6.6
23886,Town of Banff,Banff Wastewater Treatment Plant,Banff,Alberta,T1L 1A1,Municipal or another local authority,Other,8482,Estimate based on the measured rate of effluent flow,NA,No,Continuous,"Grit Removal, Screening, Primary Sedimentation/Clarification, Skimming, Activated Sludge, Biological Nutrient Removal (Nitrogen and Phosphorus), Chemical Precipitation (Phosphorus), Filtration, Disinfection",NA,Effluent is deposited to water frequented by fish via the final discharge point,No,Quarterly,Quarterly,51.1767,-115.5166,Verified,Final Discharge Point,NA,NA,NA,NA,operational,AB-04020201,05BB,Quarterly,2021,7251.8,635724,1.85,-23.15,1.375,-23.625
25072,Town of Barrhead,Barrhead Aerated Lagoon,Barrhead,Alberta,T7N 1A2,Municipal or another local authority,Municipal or another local authority,1674,Estimate based on the measured rate of influent flow,NA,No,Continuous,"Lagoons - Aerated, Storage Ponds",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Yes,Annually,Annually,54.103,-114.3868,Verified,Final Discharge Point,Paddle River,this is the main storage cell discharge the other discharge on storage cell to the east is at the other sampling point listed below,Agriculture (e.g irrigation),Other,operational,AB-17030203,07BB,Annually,2021,1908.3,312646,12,-13,22,-3
61882,Town of Barrhead,Barrhead Lagoon Storage Cell 2,Barrhead,Alberta,T7N 1A2,Municipal or another local authority,Municipal or another local authority,1095,Estimate based on the measured rate of influent flow,NA,No,Intermittent,Lagoon - Aerated,NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,No,Annually,Annually,54.1048,-114.3826,Verified,Final Discharge Point,Paddle River,Ditch,Agriculture (e.g irrigation),Other,operational,AB-17030203,07BB,Annually,2021,1095,204159,4,-21,5,-20
24022,Town of Bashaw,Bashaw Wastewater Lagoon,Bashaw,Alberta,T0B 0H0,Municipal or another local authority,Municipal or another local authority,114,Estimate based on generally accepted engineering practices,NA,No,Intermittent,"Lagoon - Anaerobic, Lagoon - Facultative, Lagoon - Non-aerated, Storage Ponds",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Annually,Annually,52.5854,-112.9339,Verified,Final Discharge Point,NA,NA,Agriculture (e.g irrigation),Natural wetland,operational,AB-08020102,05CD,Annually,2021,183.5,67157,10.2,-14.8,11.3,-13.7
25323,Town of Beaverlodge,Town of Beaverlodge Sewage Lagoon,Beaverlodge,Alberta,T0H0C0,Municipal or another local authority,Municipal or another local authority,0,Estimate based on the measured rate of effluent flow,NA,No,Intermittent,"Lagoons - Aerated, Lagoon - Anaerobic, Lagoon - Facultative, Storage Ponds",NA,Effluent is deposited to water frequented by fish via the final discharge point,Non-applicable,Annually,Annually,55.1928,-119.4224,Estimated,Final Discharge Point,Beaverlodge River,same,Drinking water source,Watercourse with bulk flow ratio >=10 and <=100,operational,AB-18020401,07GD,Annually,2021,1086.5,230257,1,-24,8.6,-16.4
23818,Town of Bentley,Bentley Waste Water Lagoon,Bentley,Alberta,T0C0J0,Municipal or another local authority,Municipal or another local authority,542,Estimate based on the measured rate of effluent flow,NA,No,Intermittent,"Lagoon - Aerobic, Lagoon - Anaerobic, Lagoon - Facultative, Lagoon - Non-aerated, Storage Ponds, Other Treatment",300 lbs/year Anaerobic digester - Acti-Zyme.,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Annually,Annually,52.4625,-114.0614,Verified,Final Discharge Point,NA,NA,NA,NA,operational,AB-08010303,05CC,Annually,2021,396.2,120000,10.4,-14.6,5,-20
23567,Town of Blackfalds,Blackfalds Waste Management Lagoons,Blackfalds,Alberta,T0M 0J0,Municipal or another local authority,Municipal or another local authority,1343,Continuous measure of influent volume deposited via the final discharge point,NA,No,Continuous,Lagoons - Aerated,NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Yes,Annually,Annually,52.3734,-113.7892,Verified,Final Discharge Point,Red Deer River,Red Deer River,Drinking water source,Other,decommissioned,AB-08010303,05CC,Annually,2018,1778.9,195859,22.1,-2.9,30,5
28000,town of Bow Island,Lagoon,Bow Island,Alberta,T0K0G0,Municipal or another local authority,Municipal or another local authority,510,Other method of calculation based on measurements,total annual effluent discharge divided by days in the year,No,Intermittent,"Lagoon - Anaerobic, Lagoon - Facultative, Storage Ponds",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Annually,Annually,49.8819,-111.3819,Verified,Final Discharge Point,South Saskatchewan River,Cherry Coulée Drain R/W,Agriculture (e.g irrigation),Watercourse with bulk flow ratio > 100,operational,AB-04030101,05AJ,Annually,2021,584.7,79010,5.2,-19.8,7,-18
25519,Town of Bruderheim,Town of Bruderheim lagoon,Bruderheim,Alberta,T0B 0S0,Municipal or another local authority,Municipal or another local authority,249,Estimate based on the measured rate of effluent flow,NA,No,Intermittent,"Lagoon - Aerobic, Lagoon - Anaerobic, Lagoon - Facultative, Storage Ponds",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Annually,Annually,53.8108,-112.9398,Verified,Final Discharge Point,NA,NA,NA,NA,operational,AB-11030102,05EB,Annually,2021,465.6,120000,6.7,-18.3,118,93
27969,Town of Calmar,Wastewater Lagoon,Calmar,Alberta,T0C 0V0,Municipal or another local authority,Municipal or another local authority,575,Other method of calculation based on measurements,Calculated by pump volumes/hr.,No,Intermittent,Lagoons - Aerated,NA,Effluent is deposited to water frequented by fish via the final discharge point,Non-applicable,Annually,Annually,53.2737,-113.8253,Estimated,Final Discharge Point,NA,NA,NA,NA,operational,AB-11020201,05DF,Annually,2021,297.8,108747,4,-21,17,-8
23884,Town of Canmore,Canmore Wastewater Treatment Plant,Canmore,Alberta,T1W 3B7,Municipal or another local authority,Other,9668,Continuous measure of effluent volume deposited via the final discharge point,NA,No,Continuous,"Grit Removal, Screening, Chemical Flocculation, Primary Sedimentation/Clarification, Skimming, Activated Sludge, Biofiltration, Chemical Precipitation (Phosphorus), Disinfection",NA,Effluent is deposited to water frequented by fish via the final discharge point,No,Quarterly,Quarterly,51.0747,-115.3495,Verified,Final Discharge Point,NA,NA,NA,NA,operational,AB-04020401,05BE,Quarterly,2021,8545.7,765685.75,7.225,-17.775,8.675,-16.325
26905,Town of Cardston,Waste Water Treatment Plant,cardston,Alberta,T0K 0K0,Municipal or another local authority,Municipal or another local authority,2000,Continuous measure of effluent volume deposited via the final discharge point,NA,No,Continuous,"Grit Removal, Screening, Primary Sedimentation/Clarification, Rotating Biological Contactor",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,No,Quarterly,Quarterly,49.2014,-113.2885,Verified,Final Discharge Point,St.Marys River,St.Marys River,Agriculture (e.g irrigation),Watercourse with bulk flow ratio >=10 and <=100,operational,AB-04010401,05AE,Quarterly,2021,2188.1,171449,7.8,-17.2,8.9,-16.1
23676,Town of Carstairs,Town of Carstairs Municipal Wastewater System,Carstairs,Alberta,T0M0N0,Municipal or another local authority,Municipal or another local authority,11522,Estimate based on generally accepted engineering practices,NA,No,Intermittent,"Lagoon - Anaerobic, Lagoon - Facultative, Storage Ponds",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Annually,Annually,51.5434,-114.0447,Verified,Final Discharge Point,Sheep Creek,Sheep Creek,Agriculture (e.g irrigation),Watercourse with bulk flow ratio >=10 and <=100,operational,AB-08020205,05CE,Annually,2021,715.9,260922,7.7,-17.3,31.5,6.5
30734,Town of Castor,Town of Castor Lagoon,Castor,Alberta,T0C 0X0,Municipal or another local authority,Municipal or another local authority,100,Other method of calculation based on measurements,Use of GPS and elevation shots,No,Intermittent,"Lagoon - Anaerobic, Lagoon - Facultative, Storage Ponds",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Annually,Annually,52.2341,-111.9275,Verified,Final Discharge Point,NA,NA,NA,NA,operational,AB-09020101,05FC,Annually,2021,128.8,49334,3,-22,2,-23
28097,Town of Claresholm,Wastewater Lagoons,Claresholm,Alberta,T0L 0T0,Municipal or another local authority,Municipal or another local authority,1500,Estimate based on the measured rate of influent flow,NA,No,Intermittent,"Lagoon - Aerobic, Lagoon - Anaerobic, Storage Ponds",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Annually,Annually,50.0058,-113.6858,Verified,Final Discharge Point,NA,NA,Agriculture (e.g irrigation),Watercourse with bulk flow ratio >=10 and <=100,operational,AB-04010201,05AB,Annually,2021,1639.3,560000,0,-25,20,-5
27996,Town of Coaldale,WW Outfall,Coaldale,Alberta,T1M 1M1,Municipal or another local authority,Municipal or another local authority,2400,Continuous measure of effluent volume deposited via the final discharge point,NA,No,Continuous,"Screening, Lagoons - Aerated, Storage Ponds, Polishing Ponds",NA,Effluent is deposited to water frequented by fish via the final discharge point,Yes,Annually,Annually,49.7468,-112.6165,Verified,Final Discharge Point,Old Man River,Old Man River,Other,Watercourse with bulk flow ratio > 100,operational,AB-04010602,05AG,Quarterly,2021,2960.6,229329.25,13.75,-11.25,17.775,-7.225
29538,Town of Coronation,Town of Coronation,Coronation,Alberta,T0C 1C0,Municipal or another local authority,Municipal or another local authority,155,Other method of calculation based on measurements,Depth before discharge and depth after discharge are used to calculate total volume of discharge for each cell.  Effluent used for irrigation is metered.,No,Intermittent,"Lagoon - Anaerobic, Lagoon - Facultative, Storage Ponds, No treatment",NA,Effluent is deposited to water frequented by fish via the final discharge point,Non-applicable,Annually,Annually,52.0889,-111.4215,Verified,Final Discharge Point,Ribstone Creek,Ribstone Creek,Other,Watercourse with bulk flow ratio < 10,operational,AB-09030201,05FD,Annually,2021,108.1,23440,7.5,-17.5,5,-20
23987,Town of Crossfield,Crossfield Wastewater Treatment,Crossfield,Alberta,T0M0S0,Municipal or another local authority,Municipal or another local authority,700,Estimate based on generally accepted engineering practices,NA,No,Intermittent,"Lagoon - Anaerobic, Lagoon - Facultative, Lagoon - Non-aerated, Storage Ponds",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Annually,Annually,51.4181,-114.0464,Estimated,Final Discharge Point,Nose Creek,Bow River,Other recreational (e.g. boating),Watercourse with bulk flow ratio > 100,operational,AB-04020803,05BH,Annually,2021,1135.9,404481,2,-23,8,-17
25206,Town of Devon,Wastewater Treatment Plant,Devon,Alberta,T9G 1Z4,Municipal or another local authority,Municipal or another local authority,2220,Continuous measure of effluent volume deposited via the final discharge point,NA,Yes,Continuous,"Screening, Primary Sedimentation/Clarification, Skimming, Rotating Biological Contactor, Other Treatment, Disinfection",Secondary Clarification prior to Disinfection. Dechlorination prior to effluent discharge.,Effluent is deposited to water frequented by fish via the final discharge point,No,Quarterly,Quarterly,53.3705,-113.7163,Verified,Final Discharge Point,North Saskatchewan River,Wastewater Effluent/North Saskatchewan River,Other,Other,operational,AB-11020201,05DF,Quarterly,2021,2355.7,194286.25,1.725,-23.275,0.35,-24.65
24268,Town of Drayton Valley,Drayton Valley Waste Water Treatment Facility,Drayton Valley,Alberta,T7A1A1,Municipal or another local authority,Municipal or another local authority,4517,Continuous measure of influent volume deposited via the final discharge point,NA,No,Continuous,"Lagoons - Aerated, Polishing Ponds , Disinfection",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Yes,Quarterly,Quarterly,53.2286,-114.9399,Verified,Final Discharge Point,NA,NA,NA,NA,operational,AB-11020101,05DE,Quarterly,2021,4985.9,297794.75,3.675,-21.325,10.4,-14.6
24780,Town of Drumheller,Wastewater Treatment Plant,Drumheller,Alberta,T0J 0Y3,Municipal or another local authority,Municipal or another local authority,2500,Continuous measure of effluent volume deposited via the final discharge point,NA,No,Continuous,"Grit Removal, Screening, Primary Sedimentation/Clarification, Skimming, Extended Aeration Activated Sludge",NA,Effluent is deposited to water frequented by fish via the final discharge point,No,Quarterly,Quarterly,51.4429,-112.6806,Verified,Final Discharge Point,Red Deer River,Red Deer River,Other,Other,operational,AB-08020201,05CE,Quarterly,2021,2644.8,184013,2.95,-22.05,34.175,9.175
24370,Town of Eckville,Town of Eckville Lagoon,Eckville,Alberta,T0M 0X0,Municipal or another local authority,Municipal or another local authority,333,Estimate based on the measured rate of influent flow,NA,No,Intermittent,"Primary Sedimentation/Clarification, Lagoons - Aerated, Lagoon - Anaerobic, Polishing Ponds",NA,Effluent is deposited to water frequented by fish via the final discharge point,Non-applicable,Annually,Annually,52.3671,-114.3482,Estimated,Final Discharge Point,Medicine River,NA,Other,NA,operational,AB-08010302,05CC,Annually,2021,427,158100,4.9,-20.1,23.5,-1.5
24225,Town of Edson,Town of Edson Sewage Lagoon,Edson,Alberta,T7E 1T7,Municipal or another local authority,Municipal or another local authority,3700,Estimate based on the measured rate of influent flow,NA,No,Continuous,"Lagoons - Aerated, Lagoon - Anaerobic",NA,Effluent is deposited to water frequented by fish via the final discharge point,Yes,Quarterly,Quarterly,53.5918,-116.3728,Verified,Final Discharge Point,NA,NA,NA,NA,operational,AB-17020203,07AG,Quarterly,2021,4610.2,256327,3.4,-21.6,3.25,-21.75
